CREATE VIEW
id,filename,ref_count,sources
704,lotus-wardrobe-2-doors-mdf-mid.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
748,lotus-wardrobe-2-doors-mdf-picture-v2.webp,1,products_rels
749,lotus-wardrobe-2-doors-mdf-picture-v3.webp,1,products_rels
750,lotus-wardrobe-2-doors-mdf-picture-v4.webp,1,products_rels
751,lotus-wardrobe-2-doors-mdf-picture.webp,1,products_rels
705,lotus-wardrobe-2-doors-mdf.webp,1,products_rels
67,lovset-1.webp,0,""
48,lovset.webp,0,""
777,lukaplus-bookcase-picture-v2.webp,1,products_rels
778,lukaplus-bookcase-picture-v3.webp,1,products_rels
779,lukaplus-bookcase-picture.webp,1,products_rels
764,lukaplus-bookcase-v2.webp,2,products.seo_og_image_id; products_rels
765,lukaplus-bookcase.webp,1,products_rels
772,lukaplus-console-vanity-mirror.webp,2,products.seo_og_image_id; products_rels
756,lukaplus-couple-lukaplus-nightstand-picture-v2.webp,1,products_rels
757,lukaplus-couple-lukaplus-nightstand-picture.webp,1,products_rels
758,lukaplus-couple-lukaplus-scene-half-picture-v2.webp,1,designs_rels
760,lukaplus-couple-lukaplus-scene-half-picture.webp,1,designs_rels
752,lukaplus-double-bed-160-picture-v2.webp,2,products_rels
753,lukaplus-double-bed-160-picture-v3.webp,2,products_rels
754,lukaplus-double-bed-160-picture-v4.webp,2,products_rels
755,lukaplus-double-bed-160-picture.webp,2,products_rels
766,lukaplus-double-bed-160.webp,6,product_variants.image_id; products.seo_og_image_id; products_rels
780,lukaplus-night-all-picture.webp,1,designs_rels
782,lukaplus-nightstand-picture-v3.webp,1,products_rels
767,lukaplus-nightstand.webp,2,products.seo_og_image_id; products_rels
759,lukaplus-scene-half-picture-v3.webp,1,designs_rels
785,lukaplus-scene-half-picture-v5.webp,1,designs_rels
787,lukaplus-single-bed-120-picture-v2.webp,2,products_rels
788,lukaplus-single-bed-120-picture-v3.webp,2,products_rels
789,lukaplus-single-bed-120-picture-v4.webp,2,products_rels
790,lukaplus-single-bed-120-picture.webp,2,products_rels
768,lukaplus-single-bed-120-v2.webp,5,product_variants.image_id; products_rels
769,lukaplus-single-bed-120.webp,2,products_rels
761,lukaplus-standing-mirror-picture.webp,1,products_rels
770,lukaplus-standing-mirror.webp,2,products.seo_og_image_id; products_rels
791,lukaplus-study-desk-picture-v2.webp,1,products_rels
